sentence1,sentence2,score
russia and nato member countries will hold meetings this fall on the conventional forces in europe treaty (cfe). ,russian parliament voted unanimously to suspend russia's participation in the conventional forces in europe (cfe) treaty.,0.28
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia. ,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,0.92
russia would not immediately increase military strength along russian borders. ,russia would not hesitate to increase military strength along russian borders if the need arises.,0.4
the center will be operational in august 2008. ,the center will formally open in 2009.,0.44
brazilian police surrounding slums north of rio de janeiro to rid them of violent drug traffickers. ,the police officers surrounded the slums north of rio de janeiro to rid them of violent drug traffickers and seize weapons and drugs.,0.76
regional and international non-proliferation issues should be addressed through dialogue and negotiations. ,the second proposal was that regional and international non-proliferation issues should be addressed through dialogue and negotiations.,0.72
bombing occurred in afghanistan as attacks by anti-government insurgents increase in recent days. ,a bombing occurred in afghanistan but police have not yet stated who is responsible.,0.52
georgian government websites are under intense cyber attack following russian military strikes against georgia late last week. ,the cyber attacks follow russian military strikes launched against georgia late last week.,0.96
switzerland's trade and diplomatic relations with iran have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a deal with iran's state gas firm. ,switzerland's trade and diplomatic relations with the islamic republic have been criticized in recent months after foreign minister micheline calmy-rey traveled to tehran in march 2008 to sign a gas deal.,0.76
"the conventional forces in europe treaty limits the number of military aircraft, tanks and other non-nuclear heavy weapons in europe. ",the conventional forces in europe treaty was signed by russian and nato members in 1990.,0.56
the african union has proposed a peacekeeping mission to help somalia's struggling transitional government stabilize somalia. ,"the african union has proposed a peacekeeping mission to aid the struggling transitional government in stabilizing somalia, particularly after the withdrawal of ethiopian forces.",0.72
reports state that the syrian government was concealing a nuclear facility at the attacked site. ,u.n. experts have begun analyzing reports that state the syrian government was concealing a nuclear facility at the attacked site.,0.84
the drug is also known as ice or shabu. ,methamphetamine is also known as ice.,0.68
"national, regional and international efforts to end the illicit trade in small arms and light weapons. ",the global community must cooperate to end illicit trade of small arms and light weapons.,0.8
religious extremism continues in pakistan despite the banning of militant groups. ,religious extremism continues in pakistan despite the banning of militant groups by the pakistani government.,0.8
russian officials have called for a conference on the conventional forces in europe treaty to discuss ratification of the amended treaty. ,antonov spoke the day before a conference on the conventional forces in europe treaty.,0.64
russian president putin signs decree suspending russia's application of european arms control treaty. ,president vladimir putin signed a decree suspending russia's participation in the conventional forces in europe treaty.,0.88
myanmar was formerly known as burma. ,myanmar was formerly called burma.,1.0
alto huallaga is located northeast of the capital lima. ,"puerto cabezas is located 557 km northeast of managua, nicaragua.",0.0
nato regrets russia's decision to suspend participation in the cfe. ,russia's decision to suspend participation in the cfe is a step in the wrong direction.,0.76
"human rights violations in myanmar include summary executions, torture and the recruitment of child soldiers. ","these human rights violations include summary executions, torture and the recruitment of child",0.84
general nikolai n. urakov stated by telephone that the state scientific center of applied microbiology has quite reliable systems of protection in case of emergency. ,general nikolai n. urakov is the longtime director of the the state scientific center of applied microbiology.,0.48
alstom is in competition with japanese and german countries for the contract. ,alstom is competing against japanese company shinkansen and german company ice for the contract.,0.72
the legislation is the most recent effort by japan to ascribe more freedom to its tightly controlled military and would overturn a ban on the military use of space. ,the legislation is the most recent effort by japan to ascribe more freedom to the tightly controlled military technically known as a self-defense force.,0.76
south korea launches new bullet train reaching 300 kph. ,south korea has had a bullet train system since the 1980s.,0.4
russia is a member of the quartet on the middle east. ,russia is a member of the nsg.,0.44
anatoly sokolov announced-- soviet-built a-135 missile defense system around moscow is obsolete and inefficient. ,soviet-built a-135 missile defense system around moscow is obsolete and inefficient.,0.92
the deal has been in process for several years. ,the iaea has been investigating iran's nuclear activities for 4 years.,0.12
adherence to non-proliferation obligations will enhance mutual trust and foster international cooperation in nuclear energy. ,zhang yan stated that all countries should abide by non-proliferation obligations in order to enhance mutual trust and create a sound environment for international cooperation in nuclear energy.,0.64
french energy and transport company alstom may sign a contract to build a high-speed rail link between beijing and shanghai. ,alstom may sign a contract to build a high-speed rail link between beijing and shanghai.,0.8
no other drug has become as integral in decades. ,the drug has been around in other forms for years.,0.4
the international atomic energy agency reached an agreement with iranian officials that stated there were no remaining issues and ambiguities regarding iran's nuclear program and activities. ,the accord said that there were no remaining issues and ambiguities regarding iran's nuclear program and activities.,0.68
